,Book,Chapter,Verse,Original Text,Formatted Text
0,CHAPTER I,1.0,1.0," Dhritirashtra: Ranged thus for battle on the sacred plain-- On Kurukshetra--say, Sanjaya! say What wrought my people, and the Pandavas?", dhritirashtra  ranged thus for battle on the sacred plain   on kurukshetra  say  sanjaya  say what wrought my people  and the pandavas 
1,CHAPTER I,1.0,2.0," Sanjaya: When he beheld the host of Pandavas, Raja Duryodhana to Drona drew, And spake these words: ""Ah, Guru! see this line, How vast it is of Pandu fighting-men, Embattled by the son of Drupada, Thy scholar in the war! Therein stand ranked Chiefs like Arjuna, like to Bhima chiefs, Benders of bows; Virata, Yuyudhan, Drupada, eminent upon his car, Dhrishtaket, Chekitan, Kasi's stout lord, Purujit, Kuntibhoj, and Saivya, With Yudhamanyu, and Uttamauj Subhadra's child; and Drupadi's;-all famed! All mounted on their shining chariots! On our side, too,--thou best of Brahmans! see Excellent chiefs, commanders of my line, Whose names I joy to count: thyself the first, Then Bhishma, Karna, Kripa fierce in fight, Vikarna, Aswatthaman; next to these Strong Saumadatti, with full many more Valiant and tried, ready this day to die For me their king, each with his weapon grasped, Each skilful in the field. Weakest-meseems- Our battle shows where Bhishma holds command, And Bhima, fronting him, something too strong! Have care our captains nigh to Bhishma's ranks Prepare what help they may! Now, blow my shell!""", sanjaya  when he beheld the host of pandavas  raja duryodhana to drona drew  and spake these words   ah  guru  see this line  how vast it is of pandu fighting men  embattled by the son of drupada  thy scholar in the war  therein stand ranked chiefs like arjuna  like to bhima chiefs  benders of bows  virata  yuyudhan  drupada  eminent upon his car  dhrishtaket  chekitan  kasi s stout lord  purujit  kuntibhoj  and saivya  with yudhamanyu  and uttamauj subhadra s child  and drupadi s  all famed  all mounted on their shining chariots  on our side  too   thou best of brahmans  see excellent chiefs  commanders of my line  whose names i joy to count  thyself the first  then bhishma  karna  kripa fierce in fight  vikarna  aswatthaman  next to these strong saumadatti  with full many more valiant and tried  ready this day to die for me their king  each with his weapon grasped  each skilful in the field  weakest meseems  our battle shows where bhishma holds command  and bhima  fronting him  something too strong  have care our captains nigh to bhishma s ranks prepare what help they may  now  blow my shell  
2,CHAPTER I,1.0,3.0," Then, at the signal of the aged king, With blare to wake the blood, rolling around Like to a lion's roar, the trumpeter Blew the great Conch; and, at the noise of it, Trumpets and drums, cymbals and gongs and horns Burst into sudden clamour; as the blasts Of loosened tempest, such the tumult seemed! Then might be seen, upon their car of gold Yoked with white steeds, blowing their battle-shells,", then  at the signal of the aged king  with blare to wake the blood  rolling around like to a lion s roar  the trumpeter blew the great conch  and  at the noise of it  trumpets and drums  cymbals and gongs and horns burst into sudden clamour  as the blasts of loosened tempest  such the tumult seemed  then might be seen  upon their car of gold yoked with white steeds  blowing their battle shells 
3,CHAPTER I,1.0,4.0," Krishna the God, Arjuna at his side: Krishna, with knotted locks, blew his great conch Carved of the ""Giant's bone;"" Arjuna blew Indra's loud gift; Bhima the terrible-- Wolf-bellied Bhima-blew a long reed-conch; And Yudhisthira, Kunti's blameless son, Winded a mighty shell, ""Victory's Voice;"" And Nakula blew shrill upon his conch Named the ""Sweet-sounding,"" Sahadev on his Called ""Gem-bedecked,"" and Kasi's Prince on his. Sikhandi on his car, Dhrishtadyumn, Virata, Satyaki the Unsubdued, Drupada, with his sons, (O Lord of Earth!) Long-armed Subhadra's children, all blew loud, So that the clangour shook their foemen's hearts, With quaking earth and thundering heav'n. Then 'twas- Beholding Dhritirashtra's battle set, Weapons unsheathing, bows drawn forth, the war Instant to break-Arjun, whose ensign-badge Was Hanuman the monkey, spake this thing", krishna the god  arjuna at his side  krishna  with knotted locks  blew his great conch carved of the  giant s bone   arjuna blew indra s loud gift  bhima the terrible   wolf bellied bhima blew a long reed conch  and yudhisthira  kunti s blameless son  winded a mighty shell   victory s voice   and nakula blew shrill upon his conch named the  sweet sounding   sahadev on his called  gem bedecked   and kasi s prince on his  sikhandi on his car  dhrishtadyumn  virata  satyaki the unsubdued  drupada  with his sons   o lord of earth   long armed subhadra s children  all blew loud  so that the clangour shook their foemen s hearts  with quaking earth and thundering heav n  then  twas  beholding dhritirashtra s battle set  weapons unsheathing  bows drawn forth  the war instant to break arjun  whose ensign badge was hanuman the monkey  spake this thing
4,CHAPTER I,1.0,5.0," To Krishna the Divine, his charioteer: ""Drive, Dauntless One! to yonder open ground Betwixt the armies; I would see more nigh These who will fight with us, those we must slay To-day, in war's arbitrament; for, sure, On bloodshed all are bent who throng this plain, Obeying Dhritirashtra's sinful son.""", to krishna the divine  his charioteer   drive  dauntless one  to yonder open ground betwixt the armies  i would see more nigh these who will fight with us  those we must slay to day  in war s arbitrament  for  sure  on bloodshed all are bent who throng this plain  obeying dhritirashtra s sinful son  
5,CHAPTER I,1.0,6.0," Thus, by Arjuna prayed, (O Bharata!) Between the hosts that heavenly Charioteer Drove the bright car, reining its milk-white steeds Where Bhishma led,and Drona,and their Lords. ""See!"" spake he to Arjuna, ""where they stand, Thy kindred of the Kurus:"" and the Prince Marked on each hand the kinsmen of his house, Grandsires and sires, uncles and brothers and sons, Cousins and sons-in-law and nephews, mixed With friends and honoured elders; some this side, Some that side ranged: and, seeing those opposed, Such kith grown enemies-Arjuna's heart Melted with pity, while he uttered this:", thus  by arjuna prayed   o bharata   between the hosts that heavenly charioteer drove the bright car  reining its milk white steeds where bhishma led and drona and their lords   see   spake he to arjuna   where they stand  thy kindred of the kurus   and the prince marked on each hand the kinsmen of his house  grandsires and sires  uncles and brothers and sons  cousins and sons in law and nephews  mixed with friends and honoured elders  some this side  some that side ranged  and  seeing those opposed  such kith grown enemies arjuna s heart melted with pity  while he uttered this 
6,CHAPTER I,1.0,7.0," Arjuna. Krishna! as I behold, come here to shed Their common blood, yon concourse of our kin, My members fail, my tongue dries in my mouth, A shudder thrills my body, and my hair Bristles with horror; from my weak hand slips Gandiv, the goodly bow; a fever burns My skin to parching; hardly may I stand; The life within me seems to swim and faint; Nothing do I foresee save woe and wail! It is not good, O Keshav! nought of good Can spring from mutual slaughter! Lo, I hate Triumph and domination, wealth and ease, Thus sadly won! Aho! what victory Can bring delight, Govinda! what rich spoils Could profit; what rule recompense; what span Of life itself seem sweet, bought with such blood? Seeing that these stand here, ready to die, For whose sake life was fair, and pleasure pleased, And power grew precious:-grandsires, sires, and sons, Brothers, and fathers-in-law, and sons-in-law, Elders and friends! Shall I deal death on these Even though they seek to slay us? Not one blow, O Madhusudan! will I strike to gain The rule of all Three Worlds; then, how much less To seize an earthly kingdom! Killing these Must breed but anguish, Krishna! If they be Guilty, we shall grow guilty by their deaths; Their sins will light on us, if we shall slay Those sons of Dhritirashtra, and our kin; What peace could come of that, O Madhava? For if indeed, blinded by lust and wrath, These cannot see, or will not see, the sin Of kingly lines o'erthrown and kinsmen slain, How should not we, who see, shun such a crime-- We who perceive the guilt and feel the shame-- O thou Delight of Men, Janardana? By overthrow of houses perisheth Their sweet continuous household piety, And-rites neglected, piety extinct-- Enters impiety upon that home; Its women grow unwomaned, whence there spring Mad passions, and the mingling-up of castes, Sending a Hell-ward road that family, And whoso wrought its doom by wicked wrath. Nay, and the souls of honoured ancestors Fall from their place of peace, being bereft Of funeral-cakes and the wan death-water. So teach our holy hymns. Thus, if we slay Kinsfolk and friends for love of earthly power, Ahovat! what an evil fault it were! Better I deem it, if my kinsmen strike, To face them weaponless, and bare my breast To shaft and spear, than answer blow with blow. So speaking, in the face of those two hosts, Arjuna sank upon his chariot-seat, And let fall bow and arrows, sick at heart.", arjuna  krishna  as i behold  come here to shed their common blood  yon concourse of our kin  my members fail  my tongue dries in my mouth  a shudder thrills my body  and my hair bristles with horror  from my weak hand slips gandiv  the goodly bow  a fever burns my skin to parching  hardly may i stand  the life within me seems to swim and faint  nothing do i foresee save woe and wail  it is not good  o keshav  nought of good can spring from mutual slaughter  lo  i hate triumph and domination  wealth and ease  thus sadly won  aho  what victory can bring delight  govinda  what rich spoils could profit  what rule recompense  what span of life itself seem sweet  bought with such blood  seeing that these stand here  ready to die  for whose sake life was fair  and pleasure pleased  and power grew precious  grandsires  sires  and sons  brothers  and fathers in law  and sons in law  elders and friends  shall i deal death on these even though they seek to slay us  not one blow  o madhusudan  will i strike to gain the rule of all three worlds  then  how much less to seize an earthly kingdom  killing these must breed but anguish  krishna  if they be guilty  we shall grow guilty by their deaths  their sins will light on us  if we shall slay those sons of dhritirashtra  and our kin  what peace could come of that  o madhava  for if indeed  blinded by lust and wrath  these cannot see  or will not see  the sin of kingly lines o erthrown and kinsmen slain  how should not we  who see  shun such a crime   we who perceive the guilt and feel the shame   o thou delight of men  janardana  by overthrow of houses perisheth their sweet continuous household piety  and rites neglected  piety extinct   enters impiety upon that home  its women grow unwomaned  whence there spring mad passions  and the mingling up of castes  sending a hell ward road that family  and whoso wrought its doom by wicked wrath  nay  and the souls of honoured ancestors fall from their place of peace  being bereft of funeral cakes and the wan death water  so teach our holy hymns  thus  if we slay kinsfolk and friends for love of earthly power  ahovat  what an evil fault it were  better i deem it  if my kinsmen strike  to face them weaponless  and bare my breast to shaft and spear  than answer blow with blow  so speaking  in the face of those two hosts  arjuna sank upon his chariot seat  and let fall bow and arrows  sick at heart 
7,CHAPTER II,1.0,1.0," Sanjaya. Him, filled with such compassion and such grief, With eyes tear-dimmed, despondent, in stern words The Driver, Madhusudan, thus addressed:", sanjaya  him  filled with such compassion and such grief  with eyes tear dimmed  despondent  in stern words the driver  madhusudan  thus addressed 
8,CHAPTER II,1.0,2.0," Krishna. How hath this weakness taken thee? Whence springs The inglorious trouble, shameful to the brave, Barring the path of virtue? Nay, Arjun! Forbid thyself to feebleness! it mars Thy warrior-name! cast off the coward-fit! Wake! Be thyself! Arise, Scourge of thy Foes!", krishna  how hath this weakness taken thee  whence springs the inglorious trouble  shameful to the brave  barring the path of virtue  nay  arjun  forbid thyself to feebleness  it mars thy warrior name  cast off the coward fit  wake  be thyself  arise  scourge of thy foes 
9,CHAPTER II,1.0,3.0," Arjuna. How can I, in the battle, shoot with shafts On Bhishma, or on Drona-O thou Chief!-- Both worshipful, both honourable men? Better to live on beggar's bread With those we love alive, Than taste their blood in rich feasts spread, And guiltily survive! Ah! were it worse-who knows?--to be Victor or vanquished here, When those confront us angrily Whose death leaves living drear? In pity lost, by doubtings tossed, My thoughts-distracted-turn To Thee, the Guide I reverence most, That I may counsel learn: I know not what would heal the grief Burned into soul and sense, If I were earth's unchallenged chief-- A god--and these gone thence!", arjuna  how can i  in the battle  shoot with shafts on bhishma  or on drona o thou chief    both worshipful  both honourable men  better to live on beggar s bread with those we love alive  than taste their blood in rich feasts spread  and guiltily survive  ah  were it worse who knows   to be victor or vanquished here  when those confront us angrily whose death leaves living drear  in pity lost  by doubtings tossed  my thoughts distracted turn to thee  the guide i reverence most  that i may counsel learn  i know not what would heal the grief burned into soul and sense  if i were earth s unchallenged chief   a god  and these gone thence 
