,Book,Chapter,Verse,Original Text,Formatted Text
0,Nephi1,1.0,1,"I, Nephi, having been born of goodly parents, therefore I was taught somewhat in all the learning of my father; and having seen many afflictions in the course of my days, nevertheless, having been highly favored of the Lord in all my days; yea, having had a great knowledge of the goodness and the mysteries of God, therefore I make a record of my proceedings in my days.",i  nephi  having been born of goodly parents  therefore i was taught somewhat in all the learning of my father  and having seen many afflictions in the course of my days  nevertheless  having been highly favored of the lord in all my days  yea  having had a great knowledge of the goodness and the mysteries of god  therefore i make a record of my proceedings in my days 
1,Nephi1,1.0,2,"Yea, I make a record in the language of my father, which consists of the learning of the Jews and the language of the Egyptians.",yea  i make a record in the language of my father  which consists of the learning of the jews and the language of the egyptians 
2,Nephi1,1.0,3,And I know that the record which I make is true; and I make it with mine own hand; and I make it according to my knowledge.,and i know that the record which i make is true  and i make it with mine own hand  and i make it according to my knowledge 
3,Nephi1,1.0,4,"For it came to pass in the commencement of the first year of the reign of Zedekiah, king of Judah, (my father, Lehi, having dwelt at Jerusalem in all his days); and in that same year there came many prophets, prophesying unto the people that they must repent, or the great city Jerusalem must be destroyed.",for it came to pass in the commencement of the first year of the reign of zedekiah  king of judah   my father  lehi  having dwelt at jerusalem in all his days   and in that same year there came many prophets  prophesying unto the people that they must repent  or the great city jerusalem must be destroyed 
4,Nephi1,1.0,5,"Wherefore it came to pass that my father, Lehi, as he went forth prayed unto the Lord, yea, even with all his heart, in behalf of his people.",wherefore it came to pass that my father  lehi  as he went forth prayed unto the lord  yea  even with all his heart  in behalf of his people 
5,Nephi1,1.0,6,"And it came to pass as he prayed unto the Lord, there came a pillar of fire and dwelt upon a rock before him; and he saw and heard much; and because of the things which he saw and heard he did quake and tremble exceedingly.",and it came to pass as he prayed unto the lord  there came a pillar of fire and dwelt upon a rock before him  and he saw and heard much  and because of the things which he saw and heard he did quake and tremble exceedingly 
6,Nephi1,1.0,7,"And it came to pass that he returned to his own house at Jerusalem; and he cast himself upon his bed, being overcome with the Spirit and the things which he had seen.",and it came to pass that he returned to his own house at jerusalem  and he cast himself upon his bed  being overcome with the spirit and the things which he had seen 
7,Nephi1,1.0,8,"And being thus overcome with the Spirit, he was carried away in a vision, even that he saw the heavens open, and he thought he saw God sitting upon his throne, surrounded with numberless concourses of angels in the attitude of singing and praising their God.",and being thus overcome with the spirit  he was carried away in a vision  even that he saw the heavens open  and he thought he saw god sitting upon his throne  surrounded with numberless concourses of angels in the attitude of singing and praising their god 
8,Nephi1,1.0,9,"And it came to pass that he saw One descending out of the midst of heaven, and he beheld that his luster was above that of the sun at noon-day.",and it came to pass that he saw one descending out of the midst of heaven  and he beheld that his luster was above that of the sun at noon day 
9,Nephi1,1.0,10," And he also saw twelve others following him, and their brightness did exceed that of the stars in the firmament.", and he also saw twelve others following him  and their brightness did exceed that of the stars in the firmament 
10,Nephi1,1.0,11," And they came down and went forth upon the face of the earth; and the first came and stood before my father, and gave unto him a book, and bade him that he should read.", and they came down and went forth upon the face of the earth  and the first came and stood before my father  and gave unto him a book  and bade him that he should read 
11,Nephi1,1.0,12," And it came to pass that as he read, he was filled with the Spirit of the Lord.", and it came to pass that as he read  he was filled with the spirit of the lord 
12,Nephi1,1.0,13," And he read, saying", and he read  saying
13,Nephi1,1.0,14," And it came to pass that when my father had read and seen many great and marvelous things, he did exclaim many things unto the Lord; such as", and it came to pass that when my father had read and seen many great and marvelous things  he did exclaim many things unto the lord  such as
14,Nephi1,1.0,15," And after this manner was the language of my father in the praising of his God; for his soul did rejoice, and his whole heart was filled, because of the things which he had seen, yea, which the Lord had shown unto him.", and after this manner was the language of my father in the praising of his god  for his soul did rejoice  and his whole heart was filled  because of the things which he had seen  yea  which the lord had shown unto him 
